c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
describeH3Error,const char * describeH3Error(H3Error err),h3index__describeH3Error.go,describeH3Error,func describeH3Error(err h3Error) string,true,attr: h3Index.c
latLngToCell,"H3Error latLngToCell(const LatLng *g, int res, H3Index *out)",h3index__latLngToCell.go,latLngToCell,"func latLngToCell(g *LatLng, res int32, out *h3Index) h3Error",true,attr: h3Index.c
cellToLatLng,"H3Error cellToLatLng(H3Index h3, LatLng *g)",h3index__cellToLatLng.go,cellToLatLng,"func cellToLatLng(h3 h3Index, g *LatLng) h3Error",true,attr: h3Index.c
cellToBoundary,"H3Error cellToBoundary(H3Index h3, CellBoundary *gp)",h3index__cellToBoundary.go,cellToBoundary,"func cellToBoundary(h3 h3Index, cb *CellBoundary) h3Error",true,attr: h3Index.c
maxGridDiskSize,"H3Error maxGridDiskSize(int k, int64_t *out)",algos__maxGridDiskSize.go,maxGridDiskSize,"func maxGridDiskSize(k int32, out *int64) h3Error",true,attr: algos.c
gridDiskUnsafe,"H3Error gridDiskUnsafe(H3Index origin, int k, H3Index *out)",algos_gridDiskUnsafe.go,gridDiskUnsafe,"func gridDiskUnsafe(origin h3Index, k int32, out []h3Index) h3Error",true,attr: algos.c
gridDiskDistancesUnsafe,"H3Error gridDiskDistancesUnsafe(H3Index origin, int k, H3Index *out, int *distances)",algos__gridDiskDistancesUnsafe.go,gridDiskDistancesUnsafe,"func gridDiskDistancesUnsafe(origin h3Index, k int32, out []h3Index, distances []int32) h3Error",true,attr: algos.c
gridDiskDistancesSafe,"H3Error gridDiskDistancesSafe(H3Index origin, int k, H3Index *out, int *distances)",algos__gridDiskDistancesSafe.go,gridDiskDistancesSafe,"func gridDiskDistancesSafe(origin h3Index, k int32, out []h3Index, distances []int32) h3Error",true,attr: algos.c
gridDisksUnsafe,"H3Error gridDisksUnsafe(H3Index *h3Set, int length, int k, H3Index *out)",algos_gridDisksUnsafe.go,gridDisksUnsafe,"func gridDisksUnsafe(h3Set []h3Index, k int32, out []h3Index) h3Error",true,attr: algos.c
gridDisk,"H3Error gridDisk(H3Index origin, int k, H3Index *out)",algos__gridDisk.go,gridDisk,"func gridDisk(origin h3Index, k int32, out []h3Index) h3Error",true,attr: algos.c
gridDiskDistances,"H3Error gridDiskDistances(H3Index origin, int k, H3Index *out, int *distances)",algos__gridDiskDistances.go,gridDiskDistances,"func gridDiskDistances(origin h3Index, k int32, out []h3Index, distances []int32) h3Error",true,attr: algos.c
maxGridRingSize,"H3Error maxGridRingSize(int k, int64_t *out)",algos_maxGridRingSize.go,_maxGridRingSize,"func _maxGridRingSize(k int32, out *int64) h3Error",true,attr: algos.c
gridRingUnsafe,"H3Error gridRingUnsafe(H3Index origin, int k, H3Index *out)",algos__gridRingUnsafe.go,gridRingUnsafe,"func gridRingUnsafe(origin h3Index, k int32, out []h3Index) h3Error",true,attr: algos.c
gridRing,"H3Error gridRing(H3Index origin, int k, H3Index *out)",algos_gridRing.go,gridRing,"func gridRing(origin h3Index, k int32, out []h3Index) h3Error",true,attr: algos.c
